"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1971",10.8556738055798,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1972",11.9655190508787,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1973",13.4527932858473,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1974",15.0073926919461,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1975",16.9210596774063,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1976",22.1436165232337,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1977",30.6741255967929,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1978",33.2088373899255,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1979",31.4782946466782,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1980",28.8709244373251,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1981",25.9695987137626,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1982",23.1129208972616,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1983",23.5290247524166,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1984",23.362256655675,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1985",23.4018936374799,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1986",24.5181757678133,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1987",25.6723776527569,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1988",26.8563354253196,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1989",28.6430680944779,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1990",29.2094715560649,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1991",29.9624053027649,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1992",32.4740049069332,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1993",35.1524007591087,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1994",39.4843456434259,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1995",42.3301289201837,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1996",46.8906339289854,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1997",52.473987017971,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1998",58.1793195403093,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","1999",67.6944191234571,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2000",80.0434221493274,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2001",88.9204451489598,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2002",94.6351801939705,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2003",98.0133320523421,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2004",102.264144989528,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2005",106.195,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2006",110.7325,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2007",116.095,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2008",118.64,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2009",113.35,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2010",111.4,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2011",109.19,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2012",101.86,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2013",95.7475000000001,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2014",96.5325000000001,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2016",105.0175,
"NLD","HOUSECOST","NOMINAL","IDX2015","A","2017",112.932500000399,
